index,ingredients,output,changelog
387,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
388,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
389,"Carbonate Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid,","carbonate water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
390,"Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Potassium Benzoate (Preserves Freshness), Citrus Pectin, Aspartame, Potassium Citrate, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil, Yellow 5","carbonated water, concentrated orange juice, citric acid, natural flavor, potassium benzoate (preserve freshness), citrus pectin, aspartame, potassium citrate, sodium citrate, acesulfame potassium, sucralose, gum arabic, sodium benzoate (preserve freshness), calcium disodium edta (to protect flavor), brominated vegetable oil, yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
391,"Brewed Espresso Coffee (Water, Coffee), Reduced-Fat Milk, Sugar, Cream, Skim Milk, Ascorbic Acid","brewed espresso coffee (water, coffee), reduced-fat milk, sugar, cream, skim milk, ascorbic acid",
392,"Brewed Starbucks Coffee (Water, Coffee), Reduced-Fat Milk, Sugar, Maltodextrin, Pectin, Ascorbic Acid","brewed starbuck coffee (water, coffee), reduced-fat milk, sugar, maltodextrin, pectin, ascorbic acid",- brewed starbucks coffee → brewed starbuck coffee (singular)
393,"Carbonate Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonate water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
394,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
395,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
396,"Carbonated Water, High Fructose Corn Syrup, Concentrated Orange Juice, Citric Acid, Natural Flavor, Sodium Benzoate (Preserves Freshness), Caffeine, Sodium Citrate, Erythorbic Acid (Preserves Freshness), Gum Arabic, Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil Yellow 5","carbonated water, high fructose corn syrup, concentrated orange juice, citric acid, natural flavor, sodium benzoate (preserve freshness), caffeine, sodium citrate, erythorbic acid (preserve freshness), gum arabic, calcium disodium edta (to protect flavor), brominated vegetable oil yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
397,"Contains**: Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Caffeine, Citric Acid and Natural Flavors","contains: carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preserve freshness), caffeine, citric acid and natural flavor","- preserves freshness → preserve freshness (singular)
- citric acid and natural flavors → citric acid and natural flavor (singular)"
398,"Sparkling Water, Cane Sugar*, Caramel Color, Phosphoric Acid, Natural Flavor, Sodium Citrate, Caffeine, Gum Arabic, Citric Acid, Kola Nut Extract","sparkling water, cane sugar, caramel color, phosphoric acid, natural flavor, sodium citrate, caffeine, gum arabic, citric acid, kola nut extract",
399,"Brewed Starbucks Coffee (Water, Coffee), Reduced-Fat Milk, Sugar, Maltodextrin, Natural Flavors, Pectin","brewed starbuck coffee (water, coffee), reduced-fat milk, sugar, maltodextrin, natural flavor, pectin","- brewed starbucks coffee → brewed starbuck coffee (singular)
- natural flavors → natural flavor (singular)"
400,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
401,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
402,"Carbonated Water, High Fructose Corn Syrup, Concentrated Orange Juice, Citric Acid, Natural Flavor, Sodium Benzoate (Preserves Freshness), Caffeine, Sodium Citrate, Erythorbic Acid (Preserves Freshness), Gum Arabic, Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil, Yellow 5","carbonated water, high fructose corn syrup, concentrated orange juice, citric acid, natural flavor, sodium benzoate (preserve freshness), caffeine, sodium citrate, erythorbic acid (preserve freshness), gum arabic, calcium disodium edta (to protect flavor), brominated vegetable oil, yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
403,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Natural Flavor, Caffeine, Citric Acid","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, natural flavor, caffeine, citric acid",
404,"Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Citrus Pectin, Potassium Benzoate (Preserves Freshness), Aspartame, Potassium Citrate, Caffeine, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Yellow 5","carbonated water, concentrated orange juice, citric acid, natural flavor, citrus pectin, potassium benzoate (preserve freshness), aspartame, potassium citrate, caffeine, sodium citrate, acesulfame potassium, sucralose, gum arabic, sodium benzoate (preserve freshness), calcium disodium edta (to protect flavor), yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
405,"Carbonated Water, Caramel Color, Natural Flavor, Phosphoric Acid, Potassium Citrate, Sucralose, Citric Acid, Acesulfame Potassium, Caffeine, Potassium Sorbate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor)","carbonated water, caramel color, natural flavor, phosphoric acid, potassium citrate, sucralose, citric acid, acesulfame potassium, caffeine, potassium sorbate (preserve freshness), calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
406,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
407,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
408,"Sugar, Gelatin, Adipic Acid (For Tartness), Contains Less Than 2% of Natural and Artificial Flavor, Acetic Acid, Disodium Phosphate and Sodium Citrate (Control Acidity), Fumaric Acid (For Tartness), Blue 1","sugar, gelatin, adipic acid (for tartness), contain less than 2% of natural and artificial flavor, acetic acid, disodium phosphate and sodium citrate (control acidity), fumaric acid (for tartness), blue 1",- contains less than 2% of natural and artificial flavor → contain less than 2% of natural and artificial flavor (singular)
409,"Carbonated Water, Sugar, Caramel Color, Phosphoric Acid, Caffeine, Natural Flavor","carbonated water, sugar, caramel color, phosphoric acid, caffeine, natural flavor",
410,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, citric acid, natural flavor",
411,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
412,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
413,"Purified Water, Magnesium Sulfate, Potassium Bicarbonate, Calcium Sulfate","purified water, magnesium sulfate, potassium bicarbonate, calcium sulfate",
414,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, citric acid, natural flavor",
415,"Water, Organic Apple Cider Vinegar, Organic Apple Juice Concentrate, Organic Pomegranate Juice Concentrate, Organic Red Raspberry Puree, Organic Onions, Xanthan Gum, Organic Black Pepper","water, organic apple cider vinegar, organic apple juice concentrate, organic pomegranate juice concentrate, organic red raspberry puree, organic onion, xanthan gum, organic black pepper",- organic onions → organic onion (singular)
416,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
417,"Carbonated Water, Caramel Color, Natural Flavor, Phosphoric Acid, Potassium Citrate, Sucralose, Citric Acid, Acesulfame Potassium, Caffeine, Potassium Sorbate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor)","carbonated water, caramel color, natural flavor, phosphoric acid, potassium citrate, sucralose, citric acid, acesulfame potassium, caffeine, potassium sorbate (preserve freshness), calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
418,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
419,"Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Caffeine, Citric Acid, Natural Flavor","carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preserve freshness), caffeine, citric acid, natural flavor",- preserves freshness → preserve freshness (singular)
420,"Carbonated Water, High Fructose Corn Syrup, Concentrated Orange Juice, Citric Acid, Natural Flavor, Sodium Benzoate (Preserves Freshness), Sodium Citrate, Gum Arabic, Erythorbic Acid (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil, Yellow 5","carbonated water, high fructose corn syrup, concentrated orange juice, citric acid, natural flavor, sodium benzoate (preserve freshness), sodium citrate, gum arabic, erythorbic acid (preserve freshness), calcium disodium edta (to protect flavor), brominated vegetable oil, yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
421,"Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Potassium Benzoate (Preserves Freshness), Citrus Pectin, Aspartame, Potassium Citrate, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Yellow 5","carbonated water, concentrated orange juice, citric acid, natural flavor, potassium benzoate (preserve freshness), citrus pectin, aspartame, potassium citrate, sodium citrate, acesulfame potassium, sucralose, gum arabic, sodium benzoate (preserve freshness), calcium disodium edta (to protect flavor), yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
422,"Carbonated Water, Sugar, Caramel Color, Phosphoric Acid, Caffine, Natural Flavor","carbonated water, sugar, caramel color, phosphoric acid, caffeine, natural flavor",- caffine → caffeine (93%)
423,"Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium","carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preserve freshness), caffeine, citric acid, natural flavor, acesulfame potassium",- preserves freshness → preserve freshness (singular)
424,"Carbonated Water, Caramel Color, Natural Flavor, Phosphoric Acid, Potassium Citrate, Sucralose, Citric Acid, Acesulfame Potassium, Caffeine, Potassium Sorbate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor)","carbonated water, caramel color, natural flavor, phosphoric acid, potassium citrate, sucralose, citric acid, acesulfame potassium, caffeine, potassium sorbate (preserve freshness), calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
425,"Carbonated Water, Sugar, Caramel Color, Phosphoric Acid, Natural Flavor, Caffeine, Purified Stevia Leaf Extract","carbonated water, sugar, caramel color, phosphoric acid, natural flavor, caffeine, purified stevia leaf extract",
426,"Carbonated Water, Sugar, Caramel Color, Natural Flavor, Phosphoric Acid, Caffeine, Citric Acid","carbonated water, sugar, caramel color, natural flavor, phosphoric acid, caffeine, citric acid",
427,"Carbonated Water, Sugar, Citric Acid, Natural Flavor, Potassium Citrate, Potassium Sorbate (Preserve Freshness)","carbonated water, sugar, citric acid, natural flavor, potassium citrate, potassium sorbate (preserve freshness)",
428,"Brewed Espresso Coffee (Water, Coffee), Reduced Fat Milk, Sugar, Skim Milk, Cream, Natural Flavors, Salt, Ascorbic Acid","brewed espresso coffee (water, coffee), reduced fat milk, sugar, skim milk, cream, natural flavor, salt, ascorbic acid",- natural flavors → natural flavor (singular)
429,"Sparkling Water, Cane Sugar*, Caramel Color, Phosphoric Acid, Natural Flavor, Sodium Citrate, Caffeine, Gum Arabic, Citric Acid, Kola Nut Extract","sparkling water, cane sugar, caramel color, phosphoric acid, natural flavor, sodium citrate, caffeine, gum arabic, citric acid, kola nut extract",
430,"Brewed Espresso Coffee (Water, Coffee), Sugar, Ascorbic Acid","brewed espresso coffee (water, coffee), sugar, ascorbic acid",
431,"Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Citrus Pectin, Potassium Benzoate (Preserves Freshness), Aspartame, Potassium Citrate, Caffeine, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Yellow 5","carbonated water, concentrated orange juice, citric acid, natural flavor, citrus pectin, potassium benzoate (preserve freshness), aspartame, potassium citrate, caffeine, sodium citrate, acesulfame potassium, sucralose, gum arabic, sodium benzoate (preserve freshness), calcium disodium edta (to protect flavor), yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
432,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
433,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Caffeine, Citric Acid, Natural Flavor","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, caffeine, citric acid, natural flavor",
434,"Carbonated Water, Caramel Color, Aspartame, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Caffeine, Citric Acid, Natural Flavor, Acesulfame Potassium","carbonated water, caramel color, aspartame, phosphoric acid, potassium benzoate (preserve freshness), caffeine, citric acid, natural flavor, acesulfame potassium",- preserves freshness → preserve freshness (singular)
435,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
436,"Carbonated Water, High Fructose Corn Syrup, Concentrated Orange Juice, Citric Acid, Natural Flavor, Sodium Benzoate (Preserves Freshness), Caffeine, Sodium Citrate, Erythorbic Acid (Preserves Freshness), Gum Arabic, Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil, Yellow 5","carbonated water, high fructose corn syrup, concentrated orange juice, citric acid, natural flavor, sodium benzoate (preserve freshness), caffeine, sodium citrate, erythorbic acid (preserve freshness), gum arabic, calcium disodium edta (to protect flavor), brominated vegetable oil, yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
437,"Brewed Espresso Coffee (Water, Coffee), Reduced-Fat Milk, Cream, Sucralose, Ascorbic Acid, Acesulfame Potassium","brewed espresso coffee (water, coffee), reduced-fat milk, cream, sucralose, ascorbic acid, acesulfame potassium",
438,"Carbonated Water, Concentrated Orange Juice, Citric Acid, Natural Flavor, Citrus Pectin, Potassium Benzoate (Preserves Freshness), Aspartame, Potassium Citrate, Caffeine, Sodium Citrate, Acesulfame Potassium, Sucralose, Gum Arabic, Sodium Benzoate (Preserves Freshness), Calcium Disodium Edta (To Protect Flavor), Brominated Vegetable Oil, Yellow 5","carbonated water, concentrated orange juice, citric acid, natural flavor, citrus pectin, potassium benzoate (preserve freshness), aspartame, potassium citrate, caffeine, sodium citrate, acesulfame potassium, sucralose, gum arabic, sodium benzoate (preserve freshness), calcium disodium edta (to protect flavor), brominated vegetable oil, yellow 5","- preserves freshness → preserve freshness (singular)
- preserves freshness → preserve freshness (singular)"
439,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sodium Benzoate (Preserves Freshness), Citric Acid, Natural and Artificial Flavor, Calcium Disodium Edta (To Protect Flavor), Quillaia Extract","carbonated water, high fructose corn syrup, caramel color, sodium benzoate (preserve freshness), citric acid, natural and artificial flavor, calcium disodium edta (to protect flavor), quillaia extract",- preserves freshness → preserve freshness (singular)
440,"Carbonated Water,, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
441,"Carbonated Water, Caramel Color, Phosphoric Acid, Potassium Benzoate (Preserves Freshness), Sucralose, Acesulfame Potassium, Caffeine, Natural Flavor, Citric Acid","carbonated water, caramel color, phosphoric acid, potassium benzoate (preserve freshness), sucralose, acesulfame potassium, caffeine, natural flavor, citric acid",- preserves freshness → preserve freshness (singular)
442,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sodium Benzoate (Preserves Freshness), Citric Acid, Natural and Artificial Flavor, Calcium Disodium Edta (To Protect Flavor), Quillaia Extract","carbonated water, high fructose corn syrup, caramel color, sodium benzoate (preserve freshness), citric acid, natural and artificial flavor, calcium disodium edta (to protect flavor), quillaia extract",- preserves freshness → preserve freshness (singular)
443,"Carbonated Water, Caramel Color, Sodium Benzoate (Preserves Freshness), Aspartame, Citric Acid, Natural and Artificial Flavor, Quillaia Extract, Calcium Disodium Edta (To Protect Flavor)","carbonated water, caramel color, sodium benzoate (preserve freshness), aspartame, citric acid, natural and artificial flavor, quillaia extract, calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
444,"Carbonated Water, High Fructose Corn Syrup, Natural and Artificial Flavor, Sodium Benzoate (Preserves Freshness), Citric Acid, Caramel Color, Calcium Disodium Edta (To Protect Flavor)","carbonated water, high fructose corn syrup, natural and artificial flavor, sodium benzoate (preserve freshness), citric acid, caramel color, calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
445,"Carbonated Water, High Fructose Corn Syrup, Caramel Color, Sugar, Phosphoric Acid, Natural Flavor, Caffeine, Citric Acid","carbonated water, high fructose corn syrup, caramel color, sugar, phosphoric acid, natural flavor, caffeine, citric acid",
446,"Carbonated Water, Natural and Artificial Flavor, Sodium Benzoate (Preserves Freshness), Aspartame, Citric Acid, Caramel Color, Yucca Mohave Extract, Calcium Disodium Edta (To Protect Flavor)","carbonated water, natural and artificial flavor, sodium benzoate (preserve freshness), aspartame, citric acid, caramel color, yucca mohave extract, calcium disodium edta (to protect flavor)",- preserves freshness → preserve freshness (singular)
447,"Water, Dark Brown Sugar, Cane Sugar, Tomato Paste, Distilled White Vinegar, Apple Cider Vinegar, Blackstrap Molasses, Salt, Spices, Corn Starch, Dehydrated Onion, Mustard Seed, Natural Smoke Flavor, Paprika, Xanthan Gum, Natural Flavor, Anchovies, Onions, Garlic Powder, Garlic, Tamarind Concentrate, Natural Extractive of Paprika","water, dark brown sugar, cane sugar, tomato paste, distilled white vinegar, apple cider vinegar, blackstrap molasses, salt, spice, corn starch, dehydrated onion, mustard seed, natural smoke flavor, paprika, xanthan gum, natural flavor, anchovy, onion, garlic powder, garlic, tamarind concentrate, natural extractive of paprika","- spices → spice (singular)
- anchovies → anchovy (singular)
- onions → onion (singular)"
448,"Distilled White Vinegar, Cane Sugar, Tomato Paste, Water, Dark Brown Sugar, Blackstrap Molasses, Salt, Corn Starch, Natural Smoke Flavor, Mustard Seed, Garlic Powder, Onion Powder, Spices, Xanthan Gum, Natural Flavor, Anchovies, Onion, Garlic, Tamarind Concentrate, Natural Extractive of Paprika","distilled white vinegar, cane sugar, tomato paste, water, dark brown sugar, blackstrap molasses, salt, corn starch, natural smoke flavor, mustard seed, garlic powder, onion powder, spice, xanthan gum, natural flavor, anchovy, onion, garlic, tamarind concentrate, natural extractive of paprika","- spices → spice (singular)
- anchovies → anchovy (singular)"
449,"Cane Sugar, Water, Yellow Mustard (Distilled White Vinegar, Water, Mustard Seed, Salt, Turmeric, Paprika, Spices), Distilled White Vinegar, Tomato Paste, Apple Cider Vinegar, Corn Starch, Salt, Blackstrap Molasses, Spices, Garlic Powder, Onion Powder, Xanthan Gum, Natural Smoke Flavor","cane sugar, water, yellow mustard (distilled white vinegar, water, mustard seed, salt, turmeric, paprika, spice), distilled white vinegar, tomato paste, apple cider vinegar, corn starch, salt, blackstrap molasses, spice, garlic powder, onion powder, xanthan gum, natural smoke flavor","- spices → spice (singular)
- spices → spice (singular)"
450,"Distilled White Vinegar, Tomato Paste, Water, Dark Brown Sugar, Sugar, Molasses, Bourbon, Salt, Raisin Paste, Corn Starch, Spices, Tamarind Extract, Garlic Powder, Natural Flavor, Natural Smoke Flavor, Onion Powder, Xanthan Gum","distilled white vinegar, tomato paste, water, dark brown sugar, sugar, molasses, bourbon, salt, raisin paste, corn starch, spice, tamarind extract, garlic powder, natural flavor, natural smoke flavor, onion powder, xanthan gum",- spices → spice (singular)
451,"Extra Virgin Olive Oil, Basil, Parmesan Cheese (Cultured Part-Skim Milk, Salt, Enzymes), Romano Cheese Made From Cow'S Milk (Cultured Part Skimmed Cow'S Milk, Salt, Enzymes), Walnuts, Garlic, Sea Salt, Lactic Acid, Citric Acid, Spice, Natural Flavor","extra virgin olive oil, basil, parmesan cheese (cultured part skim milk, salt, enzyme), romano cheese made from cow's milk (cultured part skimmed cow's milk, salt, enzyme), walnut, garlic, sea salt, lactic acid, citric acid, spice, natural flavor","- cultured part-skim milk → cultured part skim milk (96%)
- enzymes → enzyme (singular)
- enzymes → enzyme (singular)
- walnuts → walnut (singular)"
452,"Tomato Concentrate From Red Ripe Tomatoes, Distilled Vinegar, High Fructose Corn Syrup, Corn Syrup, Salt, Spice, Onion Powder, Natural Flavoring","tomato concentrate from red ripe tomato, distilled vinegar, high fructose corn syrup, corn syrup, salt, spice, onion powder, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
453,"Tomato Puree (Water, Tomato Paste), Dark Brown Sugar, Apple Cider Vinegar, Sugar, Distilled White Vinegar, Corn Starch, Salt, Blackstrap Molasses, Honey, Contains Less Than 2% Of: Natural Flavor (Contains Molasses), Worcestershire Sauce (Distilled White Vinegar, Molasses, Sugar, Water, Salt, Onions, Anchovies [Fish], Garlic, Cloves, Tamarind Extract, Natural Flavorings, Chili Pepper Extract), Peach Puree, Natural Smoke Flavor, Spices, Xanthan Gum, Paprika, Dried Onion","tomato puree (water, tomato paste), dark brown sugar, apple cider vinegar, sugar, distilled white vinegar, corn starch, salt, blackstrap molasses, honey, contain less than 2% of: natural flavor (contain molasses), worcestershire sauce (distilled white vinegar, molasses, sugar, water, salt, onion, anchovy (fish), garlic, clove, tamarind extract, natural flavoring, chili pepper extract), peach puree, natural smoke flavor, spice, xanthan gum, paprika, dried onion","- contains less than 2% of: natural flavor → contain less than 2% of: natural flavor (singular)
- contains molasses → contain molasses (singular)
- onions → onion (singular)
- anchovies → anchovy (singular)
- cloves → clove (singular)
- natural flavorings → natural flavoring (singular)
- spices → spice (singular)"
454,"Tomato Concentrate From Red Ripe Tomatoes, Butternut Squash Puree, Distilled Vinegar, Sugar, Carrot Puree, Salt, Onion Powder, Spice, Natural Flavoring","tomato concentrate from red ripe tomato, butternut squash puree, distilled vinegar, sugar, carrot puree, salt, onion powder, spice, natural flavoring",- tomato concentrate from red ripe tomatoes → tomato concentrate from red ripe tomato (singular)
455,"Soybean Oil, Tomato Puree (Tomato Paste, Water), High Fructose Corn Syrup, Vinegar, Egg Yolks, Contains Less Than 2% of Salt, Molasses, Sugar, Fruit Juice (Color), Modified Food Starch, Spices, Potassium Sorbate and Sodium Benzoate as Preservatives, Natural Smoke Flavor, Xanthan Gum, Onion Powder, Garlic Powder, Phospholipase, Calcium Disodium Edta (To Protect Freshness)","soybean oil, tomato puree (tomato paste, water), high fructose corn syrup, vinegar, egg yolk, contain less than 2% of salt, molasses, sugar, fruit juice (color), modified food starch, spice, potassium sorbate and sodium benzoate as preservative, natural smoke flavor, xanthan gum, onion powder, garlic powder, phospholipase, calcium disodium edta (to protect freshness)","- egg yolks → egg yolk (singular)
- contains less than 2% of salt → contain less than 2% of salt (singular)
- spices → spice (singular)
- potassium sorbate and sodium benzoate as preservatives → potassium sorbate and sodium benzoate as preservative (singular)"
456,"Tomato Puree (Water, Tomato Paste), Sugar, Distilled White Vinegar, Dark Brown Sugar, Corn Starch, Molasses, Contains Less Than 2% of Salt, Natural Smoke Flavor, Spice, Natural and Artificial Flavor, Dried Onion, Xanthan Gum, Dried Garlic","tomato puree (water, tomato paste), sugar, distilled white vinegar, dark brown sugar, corn starch, molasses, contain less than 2% of salt, natural smoke flavor, spice, natural and artificial flavor, dried onion, xanthan gum, dried garlic",- contains less than 2% of salt → contain less than 2% of salt (singular)
457,"Tomato Puree (Water, Tomato Paste), Sugar, Distilled White Vinegar, Apple Cider Vinegar, Molasses, Corn Starch, Salt, Contains Less Than 2% of Honey, Chili Powder (Spices, Salt, Garlic Powder), Natural Smoke Flavor, Natural and Artificial Flavor, Paprika, Spice","tomato puree (water, tomato paste), sugar, distilled white vinegar, apple cider vinegar, molasses, corn starch, salt, contain less than 2% of honey, chili powder (spice, salt, garlic powder), natural smoke flavor, natural and artificial flavor, paprika, spice","- contains less than 2% of honey → contain less than 2% of honey (singular)
- spices → spice (singular)"
